start,fa,count,n_core,bin_us,n_det_hit,det_frac_max,max_mult,multiplet_frac,f3,pi_med,pi_ge_368,n_acd,n_acd_multi,n_acd_bg,cpd_10us,cpd_100us,cpd_1ms,cpd_10ms,cpd_env,base_zero,base_len,gti_live_s,gti_nominal_s
2021-12-15T21:10:56.654000192Z,2.278e-47,55,55,263.810,21,0.109,1,0.000,0.000,170,0.018,2,0,680,2,2,2,6,682,0,25,2.000,2.000
2021-12-22T19:36:38.764623746Z,1.684e-96,69,69,89.079,24,0.087,2,0.058,0.000,208,0.072,2,0,1095,2,2,2,19,1093,0,25,2.000,2.000
2021-12-28T03:16:31.017376586Z,2.064e-57,50,50,89.973,23,0.080,2,0.080,0.000,202,0.140,4,2,1117,3,3,4,16,1121,0,25,2.000,2.000
2021-12-30T10:06:27.905972823Z,2.331e-204,125,125,91.597,25,0.072,2,0.096,0.000,285,0.272,10,8,1930,9,10,10,29,1937,0,25,2.000,2.000
2021-12-31T09:01:36.008750617Z,4.299e-60,48,48,66.102,20,0.125,2,0.042,0.000,206,0.042,0,0,1388,0,0,0,17,1388,0,25,2.000,2.000
2022-01-05T08:04:53.368285268Z,2.477e-169,119,119,140.011,25,0.076,2,0.067,0.000,256,0.252,8,0,1324,5,5,8,19,1332,0,25,2.000,2.000
2022-01-10T03:38:24.738668829Z,6.459e-196,121,121,98.035,24,0.083,2,0.050,0.000,271,0.298,2,0,1179,1,1,3,14,1181,0,25,2.000,2.000
2022-01-12T05:27:10.795432165Z,3.429e-95,91,91,259.802,25,0.077,2,0.044,0.000,226,0.220,0,0,0,0,0,0,0,0,0,25,2.000,2.000
2022-01-12T09:26:38.488035261Z,1.407e-112,106,106,199.154,25,0.075,2,0.038,0.000,203,0.160,4,0,3222,1,1,4,30,3225,0,25,2.000,2.000
2022-01-22T22:24:49.663612246Z,1.616e-69,77,77,245.884,22,0.104,1,0.000,0.000,155,0.013,4,0,2159,0,0,4,30,2163,0,25,2.000,2.000
