start,theta,phi,dist_km,zenith_src_deg,airmass,dead_frac_max,n_core,sigma_us,fluence_erg_cm2,fluence_ph_cm2
2024-11-21T08:54:22.097366005Z,26.56,359.84,400.2,36.25,1.240,0.122,16,85.3,9.835e-08,0.0545
2024-11-24T06:30:12.103531002Z,106.60,107.60,106.3,10.78,1.018,0.334,7,32.2,1.359e-07,0.0753
2024-11-30T13:02:25.005766987Z,142.16,44.61,557.4,46.03,1.440,0.215,16,38.8,2.243e-07,0.1242
2024-11-30T15:10:47.485502988Z,102.00,35.77,611.1,49.12,1.528,0.213,15,53.8,1.899e-07,0.1052
2024-12-02T05:31:34.410997003Z,46.67,224.44,368.9,33.76,1.203,0.375,25,45.6,2.213e-07,0.1226
2024-12-05T04:22:12.500889003Z,153.60,345.40,341.2,32.12,1.181,0.358,10,35.4,1.636e-07,0.0906
2024-12-11T10:44:54.440241008Z,155.43,279.78,226.5,22.47,1.082,0.306,25,58.0,5.130e-07,0.2841
2024-12-16T20:19:48.240725994Z,128.45,187.12,144.3,14.68,1.034,0.282,17,44.8,4.046e-07,0.2241
2024-12-17T04:58:48.746109008Z,86.80,354.70,139.5,14.05,1.031,0.293,39,106.9,4.775e-07,0.2644
2024-12-21T18:31:04.851516008Z,142.93,205.45,430.6,38.48,1.277,0.166,23,56.4,4.420e-07,0.2448
2024-12-22T18:44:59.836450010Z,144.50,189.08,248.7,24.28,1.097,0.330,13,55.7,3.233e-07,0.1791
2024-12-24T17:37:50.392643004Z,136.16,326.72,89.1,9.10,1.013,0.297,19,41.3,2.991e-07,0.1656
