group,latitude,longitude
assoc,14.6820,281.5681
sig,25.9953,106.8218
sig,13.5622,268.3388
sig,13.5623,268.3390
sig,2.1599,159.8133
sig,0.4237,106.7687
sig,9.3356,284.2179
assoc,24.4818,127.6997
assoc,17.0119,163.0286
assoc,13.3861,292.1826
assoc,20.4636,37.7183
sig,17.8009,103.3735
assoc,24.3079,153.9142
sig,20.4391,268.3358
assoc,14.9498,270.4692
assoc,23.7142,118.8800
assoc,11.3048,270.4230
sig,12.4993,271.6676
sig,5.8329,8.8899
assoc,22.5861,157.9256
assoc,13.7722,279.9846
assoc,17.7900,119.8393
assoc,14.6697,206.2162
sig,1.5135,293.2125
sig,3.5818,295.2214
assoc,15.2890,137.2980
sig,11.4161,274.7731
sig,11.4706,295.0912
sig,0.2191,18.5949
sig,19.5694,134.1654
sig,11.4572,270.4034
sig,-2.0555,14.8052
sig,8.9716,99.0680
sig,-2.2491,110.0469
sig,17.8694,279.6948
assoc,8.9687,285.1981
sig,8.0272,286.1435
sig,4.5009,9.1491
sig,12.8697,111.3114
sig,5.8257,103.5135
sig,-4.9429,100.6573
sig,2.0685,95.8409
sig,14.0381,298.0292
assoc,17.9809,336.3486
assoc,20.4726,280.8664
sig,16.4685,268.4123
sig,8.6790,280.4611
assoc,13.4846,66.3697
sig,5.6840,21.7701
assoc,-7.6574,159.3930
sig,10.3910,294.4532
sig,12.8856,269.3967
sig,0.9222,18.1660
sig,19.1185,68.3316
sig,9.2223,285.4346
assoc,7.7552,109.9167
sig,21.2582,286.5435
assoc,9.0457,350.4057
assoc,-6.0035,146.7297
assoc,9.9484,294.2531
assoc,2.3878,110.3027
sig,13.1458,285.6348
sig,12.3735,286.4486
sig,-0.3012,299.0384
assoc,10.4281,118.5962
sig,6.6774,122.3679
sig,4.5854,124.4260
assoc,-10.6874,18.0917
assoc,21.6254,146.5993
sig,-3.2932,148.3353
assoc,19.0290,259.8424
assoc,10.5507,276.3326
sig,15.2793,267.3323
sig,14.3845,74.1681
sig,-7.2518,22.8853
sig,13.1451,265.6292
assoc,20.4824,136.0088
assoc,14.3731,118.7169
assoc,24.9538,279.6309
sig,25.5855,266.9444
assoc,14.6279,280.3061
sig,13.6129,257.1305
sig,-1.7550,292.7046
sig,-0.8676,20.9058
sig,12.6103,79.1423
sig,22.3812,324.0364
sig,8.6673,290.7723
sig,4.1463,101.1111
assoc,4.4341,290.9642
sig,3.3899,291.9828
assoc,5.5423,128.7933
assoc,21.4142,268.7261
sig,6.1630,125.4065
assoc,10.6702,129.9334
sig,-2.1607,20.2458
assoc,15.7173,276.8886
assoc,7.7220,1.6215
sig,9.1823,3.0873
assoc,11.3541,5.3067
sig,19.0775,308.0930
assoc,-2.7587,145.2766
sig,-8.3715,154.1436
sig,-1.1879,288.3998
sig,1.3559,120.9975
assoc,8.9193,128.4340
sig,0.8469,165.0392
assoc,-5.5760,106.2670
sig,0.9027,112.5647
assoc,12.2654,144.1426
sig,4.2248,111.7949
assoc,8.2072,0.5887
sig,8.4567,111.9820
assoc,11.4330,305.1473
sig,-0.5390,10.3929
assoc,8.8494,282.5275
assoc,-3.6367,120.7274
sig,-6.8545,112.9671
sig,11.4356,70.6965
sig,9.6803,286.9018
sig,15.1861,62.7175
sig,9.3320,133.7158
assoc,9.5485,347.8499
sig,-12.9148,127.9561
assoc,-8.6051,191.8098
sig,-11.6966,122.1675
assoc,8.2033,286.4615
sig,-14.3730,142.6779
assoc,3.4801,99.2203
assoc,16.2629,133.3530
assoc,20.7482,138.5811
sig,-7.0244,146.0032
sig,-2.9899,105.9760
sig,5.0948,77.6788
assoc,-4.5648,14.2642
sig,18.4347,160.3961
assoc,-8.7375,196.5596
sig,-4.0945,139.4439
assoc,-13.5532,192.7043
sig,-2.6101,182.5395
assoc,3.5557,103.7643
sig,-1.3015,7.4141
sig,8.8721,260.3902
sig,-9.4936,132.8263
sig,-10.9928,110.0917
assoc,-16.0228,149.7959
assoc,0.7228,45.3885
assoc,-6.5441,155.6501
sig,9.8858,101.7902
assoc,8.4040,103.2876
sig,2.0600,281.3615
sig,-12.0678,168.0389
sig,-14.0933,135.9400
assoc,-1.0868,120.7504
sig,-11.9522,37.1491
sig,-14.3050,29.1221
sig,-15.5430,26.4791
assoc,-3.5531,107.3029
assoc,2.0974,29.0226
assoc,0.2334,150.6126
sig,1.1331,25.9663
sig,-5.2408,137.3134
sig,11.7234,246.1363
sig,-14.1964,122.4032
sig,-15.1049,123.3876
sig,-15.9571,162.8227
assoc,-0.5821,27.9527
assoc,-13.8259,130.3132
sig,-14.1577,51.7689
sig,-15.7641,46.0309
assoc,-0.3769,106.1492
assoc,-17.0619,49.1000
assoc,-4.3651,122.5534
assoc,0.5487,168.8035
assoc,-21.4959,22.1143
sig,-19.4330,136.9471
sig,-13.3108,150.0748
assoc,6.6185,72.7504
sig,-17.3740,126.5822
sig,-4.8446,150.6788
assoc,-11.5912,46.8412
assoc,-2.0044,106.7968
assoc,-3.2416,120.0029
assoc,-5.8918,151.1489
assoc,-1.6657,25.6948
sig,-17.2291,125.8453
sig,-6.1570,157.7050
sig,-12.4366,26.0225
assoc,-6.0097,149.8772
assoc,4.2499,101.0825
sig,-15.1781,132.4589
assoc,-22.0886,51.5674
sig,-21.3195,28.2653
sig,-11.6112,51.4974
sig,-17.0503,151.1841
assoc,-4.4662,105.9151
assoc,-11.0368,112.4843
sig,-10.7253,128.8266
assoc,-20.6738,232.9449
assoc,3.0735,357.8769
assoc,-13.9632,197.0499
sig,-19.9301,130.9990
sig,-10.0207,95.8732
sig,-4.1212,110.2911
assoc,3.8849,98.5393
assoc,-5.5283,59.1510
sig,-4.6155,26.0252
sig,-4.6156,26.0252
sig,-3.8737,21.3186
assoc,-7.0996,117.9432
sig,-2.8165,16.6772
sig,-8.5416,22.3186
sig,-14.5514,28.5640
sig,-18.8993,126.5366
sig,-18.4622,28.9614
assoc,-16.8647,140.4995
sig,0.7932,98.2971
sig,-5.3797,116.0994
sig,-0.0905,161.8122
assoc,-5.0333,108.4794
sig,2.6562,91.6792
assoc,-11.4750,143.0320
assoc,-5.4225,3.0749
sig,-9.4314,39.8916
assoc,-4.4830,145.6082
sig,-5.4586,116.4071
assoc,-0.2924,121.4325
assoc,-11.0218,13.7626
assoc,-15.6064,131.5115
sig,-2.5278,111.3088
assoc,2.3048,133.7981
assoc,-2.5169,114.2032
sig,-7.7624,119.3548
sig,-11.9777,118.1834
assoc,5.6865,155.8830
assoc,-12.6685,146.0940
assoc,-5.5673,149.3054
assoc,1.6919,107.8299
assoc,-16.2662,39.9341
sig,-13.9969,177.2956
sig,1.8696,168.8602
assoc,-15.8827,49.9405
sig,-1.9291,15.6131
sig,-0.4999,13.0194
assoc,0.2492,276.6822
sig,-18.7519,38.7221
sig,-17.7975,39.8275
assoc,-19.7180,203.4533
sig,-8.9498,133.6623
sig,0.6459,289.3972
sig,17.3927,136.6829
assoc,-18.9090,184.9695
assoc,5.9628,290.5998
sig,-1.0940,279.7567
sig,-17.6729,20.0793
assoc,-3.0559,358.9754
assoc,-6.7924,354.6888
assoc,7.0871,90.0436
assoc,5.0413,76.2507
sig,-4.4605,12.6842
sig,2.9584,268.4319
sig,2.9583,268.4320
assoc,-9.1158,135.0430
sig,-7.7341,136.4299
sig,-12.4045,33.0219
assoc,-2.3093,140.2869
assoc,-1.8641,281.4726
sig,-4.4787,110.1870
assoc,-5.0462,110.7424
sig,-6.1556,255.7622
sig,-3.6555,351.3013
assoc,-9.8327,53.9953
assoc,5.0065,287.5715
sig,1.4822,291.0022
assoc,-12.7200,200.9972
assoc,-10.2425,179.3019
assoc,-4.9900,111.7527
sig,-4.9111,346.5336
assoc,-2.7423,351.9958
sig,5.0590,101.7730
sig,3.8640,5.8793
sig,-2.9873,12.5242
sig,-7.1130,16.5725
sig,-1.0745,103.6472
assoc,-13.2044,212.9506
sig,1.8273,9.3951
sig,6.4878,286.5398
sig,2.0617,290.8676
assoc,-12.1944,11.8414
sig,-2.0695,115.0336
assoc,-16.4990,217.6328
sig,-3.7081,133.7357
sig,6.0158,114.9541
sig,6.6631,359.5916
assoc,6.0822,0.1658
sig,-5.2914,19.6174
sig,-12.2095,26.5983
sig,0.0149,12.5031
assoc,-11.5838,45.5784
sig,2.9220,201.4964
sig,-3.9694,10.3848
sig,-15.7015,212.5542
assoc,-13.2609,205.9463
sig,-8.0744,51.0554
assoc,1.4080,301.5157
assoc,-2.7123,140.0344
sig,0.0110,280.3236
sig,2.8200,283.0457
sig,10.3949,98.2262
sig,1.6613,5.8381
assoc,-1.1604,28.6114
assoc,7.6708,283.1923
assoc,5.5906,285.2513
assoc,-3.0988,220.8986
assoc,-7.9804,31.5827
sig,-6.3231,15.6373
assoc,-2.1217,15.7767
sig,-3.8670,68.1238
sig,-2.5643,11.3797
sig,-2.3454,11.5923
assoc,21.8284,275.6052
assoc,21.8285,275.6053
sig,-2.4173,128.8782
sig,0.4266,10.3100
assoc,-3.8839,123.4839
sig,1.2961,293.8686
assoc,18.8933,118.5230
sig,8.4397,137.3051
sig,24.7417,121.9450
assoc,-4.6149,17.7769
assoc,25.7206,264.9224
assoc,-1.2161,114.5531
assoc,11.3359,268.1874
assoc,-6.9995,108.3114
assoc,-0.5623,122.3273
sig,5.0838,282.7294
sig,8.4987,348.1710
assoc,-8.4853,103.5423
assoc,12.5030,267.3123
sig,10.3032,0.6888
assoc,7.3267,260.6295
assoc,6.7538,269.1942
sig,3.0335,13.7739
sig,-3.3410,145.2524
assoc,9.2207,258.8013
sig,-5.6579,152.0357
sig,-9.2834,155.6470
sig,7.3793,30.4147
sig,5.9341,97.8153
assoc,13.0894,291.4450
assoc,18.5929,107.2224
sig,-4.1448,134.7047
